timestamp,cpu_percent,memory
1733479885,5.4,11M
1733479888,5.1,11M
1733479890,5.2,11M
1733479892,4.8,11M
1733479894,6.3,11M
1733479897,5.2,11M
1733479899,5.0,11M
1733479901,4.8,11M
1733479904,5.5,11M
1733479906,5.3,11M
1733479908,5.3,11M
1733479911,5.1,11M
1733479913,5.2,11M
1733479915,5.7,11M
1733479917,5.3,11M
1733479920,5.3,11M
1733479922,5.6,11M
1733479924,5.5,11M
1733479927,5.0,11M
1733479929,5.2,13M+
1733479931,5.0,13M
1733479934,6.1,12M-
1733479936,5.1,12M
1733479938,5.3,12M-
1733479941,5.1,12M
1733479943,5.1,12M
1733479945,4.9,12M
1733479947,5.0,12M
1733479950,5.3,12M
1733479952,5.6,12M
1733479954,5.2,12M
1733479957,5.3,12M
1733479959,5.3,12M
1733479961,5.1,12M
1733479964,5.0,12M-
1733479966,5.3,12M
1733479968,5.5,12M
1733479970,5.0,12M
1733479973,6.1,12M
1733479975,5.3,12M
1733479977,5.6,12M
1733479980,5.3,12M
1733479982,5.1,12M
1733479984,5.0,12M
1733479987,5.0,12M
1733479989,5.0,12M
1733479991,5.4,12M
1733479994,5.2,12M
1733479996,5.1,12M
1733479998,5.5,12M
1733480000,5.6,12M+
1733480003,5.1,12M
1733480005,5.2,12M
1733480007,5.2,12M
1733480010,6.4,12M+
1733480012,5.1,12M+
1733480014,5.0,12M
1733480017,5.0,12M
1733480019,5.3,12M
1733480021,5.2,12M
1733480024,5.5,12M
1733480026,5.4,12M
1733480028,6.6,12M
1733480031,5.0,12M
1733480033,5.3,12M
1733480035,5.1,12M
1733480038,5.3,12M
1733480040,5.2,12M
1733480042,4.7,12M
1733480044,5.0,12M
1733480047,5.8,12M
1733480049,5.0,12M
1733480051,5.5,12M
1733480054,5.2,12M
1733480056,5.2,12M
1733480058,5.0,12M
1733480061,4.8,12M
1733480063,6.8,12M
1733480065,5.0,12M
1733480068,5.4,12M
1733480070,5.0,12M
1733480072,5.3,12M
1733480074,5.0,12M
1733480077,5.2,12M
1733480079,5.2,12M
1733480081,5.6,12M
1733480084,5.2,12M
1733480086,5.1,12M
1733480088,5.2,12M
1733480091,5.4,12M
1733480093,5.1,12M
1733480095,5.2,12M
1733480098,5.7,12M
1733480100,5.0,12M
1733480102,4.9,12M
1733480104,5.2,12M
1733480107,5.2,12M
1733480109,5.1,12M
1733480111,5.2,12M
1733480114,5.2,12M
1733480116,6.9,12M+
1733480118,5.6,12M
1733480121,5.4,12M
1733480123,5.3,12M
1733480125,5.1,12M
